Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
default,RU,169,5,77.37.140.23,broadband-77-37-140-23.ip.moscow.rt.ru,443,8880,0,0,1,0,0,0,1,1,1,Tor 0.3.5.8 on Windows 8 [or later],0,0,2015-01-08,NCNET-AS- RU,42610,654,None
default,SE,0,159,83.233.76.111,83-233-76-111.cust.bredband2.com,443,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.4.19 on Windows XP,0,0,2014-01-11,BREDBAND2- SE,29518,11,None
DefCon,DE,0,5,88.78.243.31,dslb-088-078-243-031.088.078.pools.vodafone-ip.de,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.4.1.6 on Linux,0,0,2011-09-27,VODANET International IP-Backbone of Vodafone- DE,3209,11,None
DefconFurs,US,10395,435,23.129.64.190,23.129.64.190,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.5 on FreeBSD,0,0,2019-05-15,EMERALD-ONION - Emerald Onion- US,396507,20000,[2620:18c::190]:443
DefconPups,US,18712,435,23.129.64.187,23.129.64.187,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.5 on FreeBSD,0,0,2019-05-15,EMERALD-ONION - Emerald Onion- US,396507,30900,[2620:18c::187]:443
defiant,CZ,0,60,151.237.229.131,home.natalenko.name,9001,None,0,0,0,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-02-22,MAXNET-AS- CZ,34315,32,None
DefiantDaveRelay01,US,5282,894,174.141.200.41,174-141-200-41.fttp.usinternet.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2017-10-02,USINTERNET - US Internet Corp- US,10242,23000,None
DefiantDaveRelay02,US,5799,894,174.141.200.41,174-141-200-41.fttp.usinternet.com,9002,9031,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2017-10-02,USINTERNET - US Internet Corp- US,10242,19100,None
definesum,US,0,9292,47.89.185.247,47.89.185.247,9011,9030,0,0,0,0,0,1,1,1,1,Tor 0.3.0.7 on Linux,0,0,2017-05-26,CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co.- Ltd.- CN,45102,44,None
definitelyNotLE,US,4674,74,207.180.221.220,207.180.221.220,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-10-21,CONTABO- DE,51167,17000,[2a02:c207:3003:1408::1]:9002
DefinitelyNotTheFBI,FR,37270,2889,195.154.28.200,195-154-28-200.rev.poneytelecom.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-01-13,AS12876- FR,12876,127000,None
deflemm,DE,75,180,95.223.177.251,ip-95-223-177-251.hsi16.unitymediagroup.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-09-28,LGI-UPC formerly known as UPC Broadband Holding B.V.- AT,6830,546,None
deHoochObscura,IE,0,972,52.50.118.8,ec2-52-50-118-8.eu-west-1.compute.amazonaws.com,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.3.4.8 on Linux,0,0,2018-01-14,AMAZON-02 - Amazon.com- Inc.- US,16509,10,None
DeiFlagellum,PL,432,4939,188.116.42.3,server.desktop2u.info,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.2.9.17 on Linux,0,0,2019-02-16,NEPHAX-AS- PL,43333,1100,None
deinemudda,NL,3051,8823,163.172.213.201,banana.kilobyte22.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.9 on Linux,0,0,2016-11-01,AS12876- FR,12876,11500,None
delpin,NO,489,659,81.191.94.162,cA25EBF51.dhcp.as2116.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-06-30,ASN-CATCHCOM- NO,2116,1620,None
DelterserverTorNet1,FR,7819,2355,137.74.140.41,ip41.ip-137-74-140.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-06-01,OVH- FR,16276,14000,None
deluxconfig,US,0,9,38.102.20.41,38.102.20.41,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-10-05,GIGSTREEM - GiGstreem- US,14277,None,None
demang,DE,18797,292,93.115.91.66,93.115.91.66,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2016-02-03,VOXILITY- GB,3223,54000,None
demarc,AT,113,19,178.113.3.240,178.113.3.240.wireless.dyn.drei.com,6080,6443,0,0,1,0,0,0,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-05-06,H3G-AUSTRIA-AS ==) TELE2 AUSTRIA (==- AT,25255,1060,None
Dementor,DE,1,189,46.244.229.53,ppp-46-244-229-53.dynamic.mnet-online.de,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-04-14,MNET-AS Germany- DE,8767,77,None
demogorgon,GB,0,1421,88.106.247.154,88-106-247-154.dynamic.dsl.as9105.com,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-07-07,TISCALI-UK TalkTalk Communications Limited- GB,9105,19,None
Demogorgon,IT,1591,3866,80.211.185.153,host153-185-211-80.serverdedicati.aruba.it,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on FreeBSD,0,0,2018-08-03,ARUBA-ASN- IT,31034,9020,None
demoncore,DE,0,1792,185.15.94.17,chlorine.darkpackets.net,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.3.5.8 on OpenBSD,0,0,2016-06-10,FISDE-AS- DE,34764,30,None
demonteal,CR,2687,251,138.59.18.110,138.59.18.110,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-05-14,Data Miners S.A. ( Racknation.cr )- CR,52423,2490,None
deprofundisclamavi,CZ,0,1070,176.114.248.47,176-114-248-47.rychlydrat.cz,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2014-06-25,RYCHLYDRAT- CZ,202618,35,[2001:470:59a3::1]:9001
depwnparty,US,531,1210,209.182.239.70,de.tor.pwn.party,443,None,0,0,1,0,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-08-16,HVC-AS - HIVELOCITY- Inc.- US,29802,849,[2001:470:1f0a:2bb::2]:443
derdave,FR,287,166,62.210.109.48,62-210-109-48.rev.poneytelecom.eu,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2016-01-01,AS12876- FR,12876,582,None
DerDickeReloaded,DE,12780,540,185.244.193.141,more-info-at-http-dienste.luensmann.it,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2018-10-13,NETCUP-AS netcup GmbH- DE,197540,46800,[2a03:4000:27:192:24:12:1984:4]:9001
DerRaffke,DE,408,289,130.180.111.194,b2b-130-180-111-194.unitymedia.biz,9010,9030,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2016-01-15,LGI-UPC formerly known as UPC Broadband Holding B.V.- AT,6830,1780,None
descartes,RU,3032,598,46.188.6.64,broadband-46-188-6-64.2com.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2018-02-12,CO-2COM-AS Moscow- RU,8334,10000,None
desnaturado,BR,33,756,45.232.132.193,Dinamico-45.232.132.193,20044,20045,0,0,1,0,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2018-09-29,SUDESTE WVC TELECOM LTDA. - EPP- BR,267269,394,None
despacitor,FR,29482,2879,163.172.53.201,163-172-53-201.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2018-12-26,AS12876- FR,12876,87500,None
Desperado,DE,5544,1333,78.47.134.196,desperado.tor-relay.io,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2016-08-04,HETZNER-AS- DE,24940,10400,None
Desson,BR,0,37,177.157.73.12,177.157.73.12.dynamic.adsl.gvt.net.br,9001,9030,0,0,0,0,0,0,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-09-25,TELEFÔNICA BRASIL S.A- BR,18881,17,None
Destiny,ZA,4956,587,102.165.51.33,102.165.51.33,443,9030,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2019-08-11,VDI-NETWORK - VolumeDrive- US,46664,13500,None
Destroyer,IN,41,138,103.199.161.166,103.199.161.166,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.4.0.5 on Linux,0,0,2018-12-29,KCCL-AS Kerala Communicators Cable Limited- IN,58969,473,None
Deteros,US,45,717,167.86.66.168,dietrichschmidt.de,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2015-04-18,CONTABO- DE,51167,111,None
DETor02,DE,7382,256,89.163.225.7,ms261.moonshot.dedi.server-hosting.expert,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2017-01-19,MYLOC-AS- DE,24961,23700,None
DeusVult,CA,7419,230,54.39.151.167,tor-exit.deusvult.xyz,9001,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-11-30,OVH- FR,16276,16800,None
DeusVult2,CA,5780,398,192.99.169.5,5.ip-192-99-169.net,9001,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2019-09-19,OVH- FR,16276,14600,None
devguardianproject,NL,22,6353,37.218.241.203,37.218.241.203,8443,None,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-01-15,GREENHOST-- US,209829,178,None
Deviant,DE,340,29,77.23.184.184,ip4d17b8b8.dynamic.kabel-deutschland.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.16 on Linux,0,0,2019-02-10,KABELDEUTSCHLAND-AS- DE,31334,1440,None
devilbm,JP,117,2230,139.162.67.118,li1547-118.members.linode.com,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2019-05-01,LINODE-AP Linode- LLC- US,63949,432,None
DevilHunter,DE,4853,1236,94.16.123.67,nobody.yourvserver.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-02-02,NETCUP-AS netcup GmbH- DE,197540,13900,[2a03:4000:21:3ba:840a:fff:fe2e:3fec]:9001
DevOops,US,9520,439,23.129.64.154,23.129.64.154,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.1.5 on FreeBSD,0,0,2019-04-05,EMERALD-ONION - Emerald Onion- US,396507,13700,[2620:18c::154]:443
devseed4tor,DE,3610,24,5.189.150.139,devseed.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-03-25,CONTABO- DE,51167,18700,None
Devuno1,FR,2399,264,91.121.110.114,adhc.space,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-07-19,OVH- FR,16276,11800,None
Devuno2,NL,155,571,84.30.78.124,84-30-78-124.cable.dynamic.v4.ziggo.nl,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-07-20,TNF-AS- NL,33915,668,None
dezember,N/A,15890,295,194.55.13.50,jonaswitmer.ch,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-11-12,NETCUP-AS netcup GmbH- DE,197540,55700,[2a03:4000:31:141::1337]:9001
DFRI0,SE,16261,394,171.25.193.20,tor-exit0-readme.dfri.se,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on FreeBSD,0,0,2011-10-06,DFRI-AS- SE,198093,25000,[2001:67c:289c::20]:443
DFRI1,SE,22023,908,171.25.193.77,tor-exit1-readme.dfri.se,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on FreeBSD,0,0,2012-02-02,DFRI-AS- SE,198093,35200,[2001:67c:289c:4::77]:443
DFRI3,SE,14958,327,171.25.193.235,tor-exit3-readme.dfri.se,443,80,0,1,1,0,0,0,1,1,1,Tor 0.4.0.5 on FreeBSD,0,0,2014-04-27,DFRI-AS- SE,198093,23600,[2001:67c:289c:2::235]:443
DFRI4,SE,20052,644,171.25.193.78,tor-exit4-readme.dfri.se,443,80,0,1,1,0,0,0,1,1,1,Tor 0.4.0.5 on FreeBSD,0,0,2014-06-08,DFRI-AS- SE,198093,33000,[2001:67c:289c:4::78]:443
DFRI5,SE,15906,394,171.25.193.25,tor-exit5-readme.dfri.se,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on FreeBSD,0,0,2015-07-31,DFRI-AS- SE,198093,27300,[2001:67c:289c::25]:443
DFRI8,SE,12399,849,171.25.193.234,tor-exit8-readme.dfri.se,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on FreeBSD,0,0,2019-08-31,DFRI-AS- SE,198093,20000,[2001:67c:289c:2::234]:443
dfzgwegs1,NL,32,955,163.172.217.10,163-172-217-10.rev.poneytelecom.eu,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.4.1.5 on Linux,0,0,2019-08-27,AS12876- FR,12876,86,None
dgplug,FR,7675,381,195.154.105.170,195-154-105-170.rev.poneytelecom.eu,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-01-31,AS12876- FR,12876,22100,None
Dhalgren,DE,17928,174,46.165.230.5,tor-exit.dhalgren.org,443,80,0,1,1,1,0,1,1,1,1,Tor 0.4.2.1-alpha on Linux,0,0,2015-08-28,LEASEWEB-DE-FRA-10- DE,28753,35000,None
Dibbelabbes,DE,0,2057,95.88.24.231,ip5f5818e7.dynamic.kabel-deutschland.de,9040,None,0,0,0,0,0,1,1,1,0,Tor 0.2.9.16 on Linux,0,0,2018-09-23,KABELDEUTSCHLAND-AS- DE,31334,54,None
DidItLateButNow42,DE,325,7914,62.72.82.222,newgate.radio-do.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.4.8 on FreeBSD,0,0,2016-12-28,VERSATEL- DE,8881,2400,None
DieYouRebelScum1,HR,1133,3570,161.53.160.104,cursa.CARNet.hr,9090,9091,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2008-05-18,CARNET-AS J.Marohnica 5- 10000 Zagreb- HR,2108,3100,None
